change_metric_(cause),target_value_change_(consequence),support,confidence,uplift
"[""dit: ('(0.285, 0.425)', '(0.11499999999999999, 0.295)')"", ""ic: ('(0.165, 0.425)', '(-0.005, 0.17500000000000002)')""]","bug: ('1', '0')",0.5363321799307958,0.6919642857142857,0.03781512605042017
"[""mfa: ('(-0.005, 0.855)', '(0.9349999999999999, 0.995)')"", ""ce: ('(0.005, 0.045)', '(0.035, 0.155)')""]","bug: ('1', '0')",0.5363321799307958,0.44285714285714284,0.04263153225090942
"[""mfa: ('(-0.005, 0.855)', '(0.9349999999999999, 0.995)')"", ""ce: ('(0.005, 0.045)', '(0.035, 0.155)')""]","bug: ('1', '0')",0.5363321799307958,0.45421245421245415,0.04436163605713779
"[""cbm: ('(0.075, 0.255)', '(0.575, 0.755)')""]","bug: ('1', '0')",0.5363321799307958,0.6193647540983607,0.06417603806228374
"[""mfa: ('(-0.005, 0.855)', '(0.895, 0.945)')"", ""ce: ('(0.145, 0.245)', '(0.035, 0.155)')""]","bug: ('1', '0')",0.5363321799307958,0.5697577276524645,0.03380567913439886
"[""dit: ('(-0.005, 0.125)', '(0.11499999999999999, 0.295)')"", ""dam: ('(0.365, 1.005)', '(-0.005, 0.10500000000000001)')""]","bug: ('1', '0')",0.5363321799307958,0.5936170212765958,0.04550173010380623
"[""mfa: ('(-0.005, 0.855)', '(0.9349999999999999, 0.995)')"", ""ce: ('(0.005, 0.045)', '(0.035, 0.155)')""]","bug: ('1', '0')",0.5363321799307958,0.47064777327935214,0.05088279655753704
"[""ce: ('(0.035, 0.155)', '(-0.005, 0.015)')"", ""lcom: ('(-0.005, 1.005)', '(-0.005, 0.005)')"", ""dit: ('(0.285, 0.425)', '(-0.005, 0.125)')""]","bug: ('1', '0')",0.5363321799307958,0.5610859728506787,0.031607665690710676
"[""cbm: ('(0.075, 0.255)', '(0.575, 0.755)')""]","bug: ('1', '0')",0.5363321799307958,0.609375,0.0641219723183391
"[""mfa: ('(-0.005, 0.855)', '(0.9349999999999999, 0.995)')"", ""ce: ('(0.005, 0.045)', '(0.035, 0.155)')""]","bug: ('1', '0')",0.5363321799307958,0.4389590508993494,0.040236003903823966
"[""dit: ('(0.285, 0.425)', '(0.875, 1.005)')"", ""dam: ('(-0.005, 0.10500000000000001)', '(0.365, 1.005)')""]","bug: ('1', '0')",0.5190311418685121,0.7264957264957266,0.04757785467128028
"[""dit: ('(-0.005, 0.125)', '(0.875, 1.005)')""]","bug: ('1', '0')",0.5190311418685121,0.6451612903225806,0.13500390668601409
"[""mfa: ('(-0.005, 0.855)', '(0.895, 0.945)')"", ""lcom: ('(-0.005, 1.005)', '(-0.005, 0.005)')"", ""cam: ('(-0.005, 0.34500000000000003)', '(0.335, 0.405)')""]","bug: ('1', '0')",0.5190311418685121,0.5212355212355213,0.04395398859066679
"[""lcom: ('(-0.005, 1.005)', '(-0.005, 0.005)')""]","bug: ('1', '0')",0.5190311418685121,0.424390243902439,0.026584521900582324
"[""lcom3: ('(-0.005, 0.295)', '(0.395, 0.485)')""]","bug: ('1', '0')",0.5190311418685121,0.3450226244343891,0.030875698695767895
"[""lcom: ('(-0.005, 1.005)', '(-0.005, 0.005)')""]","bug: ('1', '0')",0.5190311418685121,0.3998211091234347,0.02428582924277782
"[""amc: ('(0.015, 0.115)', '(-0.005, 0.025)')"", ""lcom: ('(-0.005, 1.005)', '(-0.005, 0.005)')""]","bug: ('1', '0')",0.5190311418685121,0.3581267217630854,0.01870227916154308
"[""lcom3: ('(0.875, 1.005)', '(0.475, 0.885)')"", ""dit: ('(0.285, 0.425)', '(0.875, 1.005)')""]","bug: ('1', '0')",0.5190311418685121,0.8404074702886248,0.05497265319790155
"[""cbm: ('(0.075, 0.255)', '(-0.005, 0.085)')""]","bug: ('1', '0')",0.5190311418685121,0.42167135190391003,0.02247233735123008
"[""lcom: ('(-0.005, 1.005)', '(-0.005, 0.005)')""]","bug: ('1', '0')",0.5190311418685121,0.41751152073732717,0.02559277980641972
"[""dit: ('(-0.005, 0.125)', '(0.875, 1.005)')""]","bug: ('1', '0')",0.5190311418685121,0.6759962049335864,0.15676972876437104
"[""cbm: ('(0.075, 0.255)', '(-0.005, 0.085)')""]","bug: ('1', '0')",0.5190311418685121,0.38659793814432986,0.018941961259943636
"[""amc: ('(0.015, 0.115)', '(-0.005, 0.025)')"", ""dit: ('(0.285, 0.425)', '(-0.005, 0.125)')""]","bug: ('1', '0')",0.5190311418685121,0.4182692307692308,0.021293585307426137
"[""cam: ('(0.395, 0.445)', '(0.485, 0.655)')""]","bug: ('1', '0')",0.5190311418685121,0.3721488595438175,0.018657982224031477
"[""amc: ('(0.015, 0.115)', '(-0.005, 0.025)')"", ""lcom: ('(-0.005, 1.005)', '(-0.005, 0.005)')""]","bug: ('1', '0')",0.5190311418685121,0.37646675358539766,0.020643950501436865
